"Date","Price","Open","High","Low","Change %"
"May 28, 2019","1,280.03","1,285.85","1,286.66","1,276.24","-0.45%"
"May 27, 2019","1,285.82","1,284.76","1,287.45","1,283.84","0.08%"
"May 26, 2019","1,284.81","1,284.91","1,285.80","1,284.33","-0.00%"
"May 24, 2019","1,284.87","1,284.12","1,285.28","1,280.87","0.05%"
"May 23, 2019","1,284.26","1,274.23","1,287.33","1,272.90","0.78%"
"May 22, 2019","1,274.32","1,274.69","1,277.36","1,272.57","-0.03%"
"May 21, 2019","1,274.68","1,277.53","1,277.54","1,269.57","-0.22%"
"May 20, 2019","1,277.51","1,277.80","1,279.01","1,273.74","-0.03%"
"May 19, 2019","1,277.83","1,278.95","1,278.95","1,277.09","0.00%"
"May 17, 2019","1,277.81","1,285.91","1,288.99","1,275.06","-0.64%"
"May 16, 2019","1,285.98","1,296.59","1,298.79","1,284.21","-0.82%"
"May 15, 2019","1,296.55","1,297.14","1,300.93","1,293.13","-0.05%"
"May 14, 2019","1,297.14","1,301.83","1,303.35","1,293.81","-0.36%"
"May 13, 2019","1,301.81","1,287.31","1,301.81","1,282.06","1.13%"
"May 12, 2019","1,287.30","1,286.65","1,288.15","1,286.61","0.11%"
"May 10, 2019","1,285.93","1,283.84","1,289.48","1,283.27","0.17%"
"May 09, 2019","1,283.81","1,281.44","1,288.26","1,279.69","0.18%"
"May 08, 2019","1,281.44","1,284.92","1,291.53","1,279.45","-0.27%"
"May 07, 2019","1,284.91","1,282.97","1,286.15","1,278.29","0.15%"
"May 06, 2019","1,282.98","1,284.30","1,285.22","1,277.11","-0.10%"
"May 05, 2019","1,284.29","1,280.11","1,285.89","1,280.08","0.40%"
"May 03, 2019","1,279.15","1,270.86","1,282.61","1,268.49","0.65%"
"May 02, 2019","1,270.86","1,277.17","1,277.49","1,266.35","-0.49%"
"May 01, 2019","1,277.17","1,283.22","1,287.28","1,273.13","-0.47%"
"Apr 30, 2019","1,283.26","1,280.49","1,286.26","1,279.97","0.22%"
"Apr 29, 2019","1,280.49","1,285.93","1,286.70","1,278.17","-0.42%"
